embedding,model,params,accuracy,precision,recall,f1
TFIDF_UNIGRAM,LogisticRegression,C=0.0001,0.8592666666666666,0.8490141432297985,0.8765383088527193,0.862537345138887
TFIDF_UNIGRAM,LogisticRegression,C=0.001,0.8502666666666666,0.8428680644696839,0.8638348551012306,0.853213137386326
TFIDF_UNIGRAM,LogisticRegression,C=0.005,0.8432,0.8370797031648355,0.8552335582903269,0.8460426669534581
TFIDF_UNIGRAM,LogisticRegression,C=0.01,0.8404666666666666,0.8354198751495661,0.8509990737064973,0.8431284072908758
TFIDF_UNIGRAM,LogisticRegression,C=0.05,0.8383333333333334,0.8331535084534257,0.849146486701072,0.8410689540018735
TFIDF_UNIGRAM,LogisticRegression,C=0.1,0.8368666666666668,0.8318128519823974,0.8475585549821357,0.8396061033225753
TFIDF_UNIGRAM,LogisticRegression,C=0.5,0.8417333333333333,0.8366351667578065,0.852322350138944,0.8443889827033746
TFIDF_UNIGRAM,LogisticRegression,C=1,0.8421333333333333,0.8371251796517251,0.8525870054254333,0.8447514979234408
TFIDF_UNIGRAM,LogisticRegression,C=2,0.8416666666666667,0.8370861590734499,0.851528384279476,0.8441935162572008
TFIDF_UNIGRAM,LogisticRegression,C=5,0.8405999999999999,0.8367435692589277,0.8494111419875612,0.8429786311579465
TFIDF_UNIGRAM,LogisticRegression,C=10,0.8405999999999999,0.8365843227132267,0.8496757972740506,0.843017808955208
TFIDF_UNIGRAM,LogisticRegression,C=20,0.8408000000000001,0.8366532199128884,0.8500727802037845,0.8432405051398195
TFIDF_UNIGRAM,LogisticRegression,C=50,0.8406666666666668,0.8365262357859043,0.8499404525605398,0.8431109043103743
TFIDF_UNIGRAM,LogisticRegression,C=100,0.8403999999999999,0.8361896806959844,0.8498081249172952,0.8428698060460228
TFIDF_UNIGRAM,LogisticRegression,C=200,0.8403333333333333,0.8361680768896429,0.8496757972740506,0.8427931574496218
TFIDF_UNIGRAM,LogisticRegression,C=300,0.8403333333333333,0.8361680768896429,0.8496757972740506,0.8427931574496218
TFIDF_UNIGRAM,LogisticRegression,C=500,0.8403333333333333,0.8361680768896429,0.8496757972740506,0.8427931574496218
TFIDF_UNIGRAM,LogisticRegression,C=700,0.8403333333333333,0.8361680768896429,0.8496757972740506,0.8427931574496218
TFIDF_UNIGRAM,LogisticRegression,C=900,0.8403333333333333,0.8361680768896429,0.8496757972740506,0.8427931574496218
TFIDF_UNIGRAM,LogisticRegression,C=1000,0.8404000000000001,0.8361897394177537,0.8498081249172952,0.8428678332577345
TFIDF_UNIGRAM,RandomForest,"n_estimators=50, depth=5",0.7818666666666667,0.7409331152395646,0.8719068413391557,0.8010905752658616
