embedding,model,params,accuracy,precision,recall,f1
W2V_CBOW,LogisticRegression,C=0.0001,0.7909333333333334,0.7809943704525404,0.8130210400952759,0.7966640880456799
W2V_CBOW,LogisticRegression,C=0.001,0.8290000000000001,0.8211786765939381,0.8445150191875083,0.8326772129303258
W2V_CBOW,LogisticRegression,C=0.005,0.8365333333333332,0.8298676798632668,0.8498081249172952,0.8397067389027387
W2V_CBOW,LogisticRegression,C=0.01,0.8376666666666667,0.8315106038630221,0.8500727802037845,0.8406784673103626
W2V_CBOW,LogisticRegression,C=0.05,0.8378666666666666,0.8323376005933866,0.8492788143443165,0.840714465468135
W2V_CBOW,LogisticRegression,C=0.1,0.8366666666666666,0.8316056942867643,0.847426227338891,0.8394321800465132
W2V_CBOW,LogisticRegression,C=0.5,0.8360666666666666,0.830705689366067,0.8472938996956465,0.8389138602333813
W2V_CBOW,LogisticRegression,C=1,0.836,0.8305974209059546,0.8472938996956465,0.8388590737634992
W2V_CBOW,LogisticRegression,C=2,0.8364666666666666,0.8310084772000387,0.8478232102686251,0.8393281731975687
W2V_CBOW,LogisticRegression,C=5,0.8365999999999999,0.8311376261087302,0.8479555379118698,0.8394588921518169
W2V_CBOW,LogisticRegression,C=10,0.8363999999999999,0.8309001109067684,0.8478232102686251,0.8392728253613476
W2V_CBOW,LogisticRegression,C=20,0.8363999999999999,0.8309001109067684,0.8478232102686251,0.8392728253613476
W2V_CBOW,LogisticRegression,C=50,0.8363999999999999,0.8309001109067684,0.8478232102686251,0.8392728253613476
W2V_CBOW,LogisticRegression,C=100,0.8363999999999999,0.8309001109067684,0.8478232102686251,0.8392728253613476
W2V_CBOW,LogisticRegression,C=200,0.8363999999999999,0.8309001109067684,0.8478232102686251,0.8392728253613476
W2V_CBOW,LogisticRegression,C=300,0.8363999999999999,0.8309001109067684,0.8478232102686251,0.8392728253613476
W2V_CBOW,LogisticRegression,C=500,0.8363999999999999,0.8309001109067684,0.8478232102686251,0.8392728253613476
W2V_CBOW,LogisticRegression,C=700,0.8363999999999999,0.8309001109067684,0.8478232102686251,0.8392728253613476
W2V_CBOW,LogisticRegression,C=900,0.8363999999999999,0.8309001109067684,0.8478232102686251,0.8392728253613476
W2V_CBOW,LogisticRegression,C=1000,0.8363999999999999,0.8309001109067684,0.8478232102686251,0.8392728253613476
W2V_CBOW,RandomForest,"n_estimators=50, depth=5",0.7702,0.7680845082223359,0.7791451634246394,0.773571622035839
W2V_CBOW,RandomForest,"n_estimators=50, depth=10",0.7941333333333334,0.7870146386928184,0.8107714701601165,0.7987130945992629
W2V_CBOW,RandomForest,"n_estimators=50, depth=15",0.7961333333333332,0.7881989869582232,0.8140796612412333,0.8009251375869533
W2V_CBOW,RandomForest,"n_estimators=50, depth=20",0.7917333333333333,0.7806051048162104,0.8159322482466588,0.7978711625444513
W2V_CBOW,RandomForest,"n_estimators=100, depth=5",0.7714,0.7697699880222167,0.7794098187111288,0.7745496783566631
W2V_CBOW,RandomForest,"n_estimators=100, depth=10",0.7977333333333334,0.7917806780073366,0.8120947465925633,0.801803142046929
W2V_CBOW,RandomForest,"n_estimators=100, depth=15",0.7969333333333334,0.7842693968070044,0.823474923911605,0.8033803876791038
W2V_CBOW,RandomForest,"n_estimators=100, depth=20",0.797,0.7836651881147315,0.8247982003440519,0.8036745251798152
W2V_CBOW,RandomForest,"n_estimators=150, depth=5",0.7729333333333334,0.7708005902592708,0.7817917162895328,0.7762529517173024
W2V_CBOW,RandomForest,"n_estimators=150, depth=10",0.798,0.7903194331941283,0.8154029376736801,0.8026573309694572
W2V_CBOW,RandomForest,"n_estimators=150, depth=15",0.8022666666666667,0.7900190891838688,0.8274447532089454,0.8082921354230144
W2V_CBOW,RandomForest,"n_estimators=150, depth=20",0.8015333333333333,0.7887113363171957,0.8278417361386795,0.8078022299528573
W2V_CBOW,RandomForest,"n_estimators=200, depth=5",0.7740666666666667,0.7713110200754226,0.7840412862246923,0.777605043788748
W2V_CBOW,RandomForest,"n_estimators=200, depth=10",0.7981333333333334,0.7926411909210284,0.8116977636628292,0.8020463736155646
W2V_CBOW,RandomForest,"n_estimators=200, depth=15",0.8041999999999999,0.7927609602244993,0.8277094084954347,0.8098566851106833
W2V_CBOW,RandomForest,"n_estimators=200, depth=20",0.8056000000000001,0.7917287198782222,0.8333994971549558,0.8120107905734102
W2V_CBOW,RandomForest,"n_estimators=300, depth=5",0.7721333333333332,0.7694409902091507,0.7820563715760223,0.7756945223324676
W2V_CBOW,RandomForest,"n_estimators=300, depth=10",0.8004666666666665,0.7941010495045889,0.8154029376736801,0.8046005446581352
W2V_CBOW,RandomForest,"n_estimators=300, depth=15",0.8035333333333333,0.7928330407145254,0.8258568214900093,0.8089965289618455
W2V_CBOW,RandomForest,"n_estimators=300, depth=20",0.8029999999999999,0.7884297949499318,0.8323408760089982,0.809787044017006
W2V_CBOW,AdaBoost,"n_estimators=50, lr=0.01",0.6751999999999999,0.6737220311471348,0.6953817652507608,0.682027824073623
W2V_CBOW,AdaBoost,"n_estimators=50, lr=0.05",0.7292,0.7608632481215069,0.674606325261347,0.7150964815528117
W2V_CBOW,AdaBoost,"n_estimators=50, lr=0.1",0.7417333333333334,0.7815980069231764,0.6764589122667726,0.7252115022789801
W2V_CBOW,AdaBoost,"n_estimators=50, lr=0.5",0.7841333333333335,0.787740563429046,0.7823210268625115,0.7849942225287938
W2V_CBOW,AdaBoost,"n_estimators=100, lr=0.01",0.7085333333333333,0.729922757387573,0.6697102024612942,0.6981820245766803
