embedding,model,params,accuracy,precision,recall,f1
TFIDF_NGRAM,LogisticRegression,C=0.0001,0.8764666666666666,0.8616025352070289,0.8992986634908032,0.8800218715829459
TFIDF_NGRAM,LogisticRegression,C=0.001,0.8678666666666667,0.8568034101854609,0.8858012438798465,0.8710283183547203
TFIDF_NGRAM,LogisticRegression,C=0.005,0.8636666666666667,0.8542743394625522,0.8794495170041022,0.8666385858371601
TFIDF_NGRAM,LogisticRegression,C=0.01,0.8628,0.8531351460744019,0.8790525340743681,0.8658503741916076
TFIDF_NGRAM,LogisticRegression,C=0.05,0.8609333333333332,0.852256744949571,0.875876670636496,0.8638352114046759
TFIDF_NGRAM,LogisticRegression,C=0.1,0.8582666666666667,0.8516746596074327,0.8703189096202196,0.8608545068251842
TFIDF_NGRAM,LogisticRegression,C=0.5,0.8573333333333334,0.84848383450382,0.8727008071986239,0.8603964006371028
TFIDF_NGRAM,LogisticRegression,C=1,0.8564666666666666,0.8458066767476127,0.8745533942040492,0.859924031152743
TFIDF_NGRAM,LogisticRegression,C=2,0.8561333333333333,0.8431451542368875,0.8777292576419214,0.8600816000149347
TFIDF_NGRAM,LogisticRegression,C=5,0.8555333333333334,0.8415723370890492,0.8786555511446341,0.85970542002404
TFIDF_NGRAM,LogisticRegression,C=10,0.8552666666666667,0.8408894371940049,0.8790525340743681,0.8595376836834506
TFIDF_NGRAM,LogisticRegression,C=20,0.8548666666666667,0.84008202269446,0.8793171893608575,0.859241558524781
TFIDF_NGRAM,LogisticRegression,C=50,0.8548,0.8398038016865647,0.8795818446473468,0.8592219424259815
TFIDF_NGRAM,LogisticRegression,C=100,0.8548,0.8398038016865647,0.8795818446473468,0.8592219424259815
TFIDF_NGRAM,LogisticRegression,C=200,0.8548,0.8398038016865647,0.8795818446473468,0.8592219424259815
TFIDF_NGRAM,LogisticRegression,C=300,0.8548,0.8398038016865647,0.8795818446473468,0.8592219424259815
TFIDF_NGRAM,LogisticRegression,C=500,0.8547333333333333,0.8396971799521742,0.8795818446473468,0.8591662772363899
TFIDF_NGRAM,LogisticRegression,C=700,0.8546666666666667,0.8395923377741613,0.8795818446473468,0.8591108719425716
TFIDF_NGRAM,LogisticRegression,C=900,0.8546666666666667,0.8395923377741613,0.8795818446473468,0.8591108719425716
TFIDF_NGRAM,LogisticRegression,C=1000,0.8546666666666667,0.8395923377741613,0.8795818446473468,0.8591108719425716
TFIDF_NGRAM,RandomForest,"n_estimators=50, depth=5",0.7938666666666666,0.7464439125697052,0.8947995236204843,0.813886031691767
TFIDF_NGRAM,RandomForest,"n_estimators=50, depth=10",0.8014000000000001,0.7701613528087048,0.8635701998147413,0.8141587615335707
TFIDF_NGRAM,RandomForest,"n_estimators=50, depth=15",0.8130666666666667,0.7817550769802248,0.8727008071986239,0.8246994461102263
TFIDF_NGRAM,RandomForest,"n_estimators=50, depth=20",0.8258666666666666,0.8068631103281535,0.860394336376869,0.832744549976883
TFIDF_NGRAM,RandomForest,"n_estimators=100, depth=5",0.8084000000000001,0.7653742806758769,0.893740902474527,0.8245747024252603
TFIDF_NGRAM,RandomForest,"n_estimators=100, depth=10",0.8214666666666667,0.7818855978737912,0.8957258171231971,0.8348868977853382
TFIDF_NGRAM,RandomForest,"n_estimators=100, depth=15",0.8316666666666667,0.8006249440150194,0.8867275373825593,0.8414765838318242
TFIDF_NGRAM,RandomForest,"n_estimators=100, depth=20",0.8346,0.8104477229918992,0.8769352917824533,0.842339541403024
TFIDF_NGRAM,RandomForest,"n_estimators=150, depth=5",0.8109333333333334,0.762166411433059,0.9085615985179304,0.8288579516177291
TFIDF_NGRAM,RandomForest,"n_estimators=150, depth=10",0.8261333333333334,0.7874082705761175,0.8971814211988884,0.8387050310728877
TFIDF_NGRAM,RandomForest,"n_estimators=150, depth=15",0.8345333333333333,0.8036680473234271,0.8888447796744741,0.8441004276200905
TFIDF_NGRAM,RandomForest,"n_estimators=150, depth=20",0.8360666666666666,0.8118018491159549,0.8782585682149001,0.8437058435518748
TFIDF_NGRAM,RandomForest,"n_estimators=200, depth=5",0.8114,0.761548066012884,0.9112081513828238,0.8296464218650413
TFIDF_NGRAM,RandomForest,"n_estimators=200, depth=10",0.8293333333333334,0.7884950482334617,0.9037978033611221,0.84219777529277
TFIDF_NGRAM,RandomForest,"n_estimators=200, depth=15",0.8348,0.8031803941585763,0.8903003837501654,0.8444911366020754
TFIDF_NGRAM,RandomForest,"n_estimators=200, depth=20",0.8408000000000001,0.8140945379797104,0.8864628820960698,0.848735833146491
TFIDF_NGRAM,RandomForest,"n_estimators=300, depth=5",0.8141333333333334,0.7622048466342964,0.9172952229720789,0.8325642089750266
TFIDF_NGRAM,RandomForest,"n_estimators=300, depth=10",0.8358,0.7982178078170611,0.9024745269286755,0.8471049235683473
TFIDF_NGRAM,RandomForest,"n_estimators=300, depth=15",0.84,0.8079727290925128,0.8951965065502184,0.8493500012864653
TFIDF_NGRAM,RandomForest,"n_estimators=300, depth=20",0.8440666666666666,0.8174734621478227,0.8889771073177187,0.8517226574433194
TFIDF_NGRAM,AdaBoost,"n_estimators=50, lr=0.01",0.5924,0.5581990898510866,0.9285430726478762,0.6965556589918881
TFIDF_NGRAM,AdaBoost,"n_estimators=50, lr=0.05",0.6449333333333334,0.5994323673595622,0.8899034008204314,0.716340304168264
TFIDF_NGRAM,AdaBoost,"n_estimators=50, lr=0.1",0.6444666666666666,0.5985143408418092,0.8940055577610163,0.7170023164629891
