2025-12-17 09:34:46,647 | INFO | RandomForest: n_estimators=50, depth=20
2025-12-17 09:34:47,232 | INFO | RandomForest: n_estimators=100, depth=5
2025-12-17 09:34:47,805 | INFO | RandomForest: n_estimators=100, depth=10
2025-12-17 09:34:48,537 | INFO | RandomForest: n_estimators=100, depth=15
2025-12-17 09:34:49,387 | INFO | RandomForest: n_estimators=100, depth=20
2025-12-17 09:34:50,445 | INFO | RandomForest: n_estimators=150, depth=5
2025-12-17 09:34:51,227 | INFO | RandomForest: n_estimators=150, depth=10
2025-12-17 09:34:52,246 | INFO | RandomForest: n_estimators=150, depth=15
2025-12-17 09:34:53,442 | INFO | RandomForest: n_estimators=150, depth=20
2025-12-17 09:34:54,939 | INFO | RandomForest: n_estimators=200, depth=5
2025-12-17 09:34:55,961 | INFO | RandomForest: n_estimators=200, depth=10
2025-12-17 09:34:57,251 | INFO | RandomForest: n_estimators=200, depth=15
2025-12-17 09:34:58,804 | INFO | RandomForest: n_estimators=200, depth=20
2025-12-17 09:35:00,850 | INFO | RandomForest: n_estimators=300, depth=5
2025-12-17 09:35:02,416 | INFO | RandomForest: n_estimators=300, depth=10
2025-12-17 09:35:04,285 | INFO | RandomForest: n_estimators=300, depth=15
2025-12-17 09:35:06,582 | INFO | RandomForest: n_estimators=300, depth=20
2025-12-17 09:35:09,425 | INFO | AdaBoost: n_estimators=50, lr=0.01
2025-12-17 09:35:28,032 | INFO | AdaBoost: n_estimators=50, lr=0.05
2025-12-17 09:35:46,733 | INFO | AdaBoost: n_estimators=50, lr=0.1
2025-12-17 09:37:27,195 | INFO | AdaBoost: n_estimators=50, lr=0.5
2025-12-17 09:37:45,818 | INFO | AdaBoost: n_estimators=100, lr=0.01
2025-12-17 09:38:23,133 | INFO | AdaBoost: n_estimators=100, lr=0.05
2025-12-17 09:38:59,110 | INFO | AdaBoost: n_estimators=100, lr=0.1
2025-12-17 09:39:35,205 | INFO | AdaBoost: n_estimators=100, lr=0.5
2025-12-17 09:40:11,477 | INFO | AdaBoost: n_estimators=150, lr=0.01
2025-12-17 09:41:05,531 | INFO | AdaBoost: n_estimators=150, lr=0.05
2025-12-17 09:42:00,062 | INFO | AdaBoost: n_estimators=150, lr=0.1
2025-12-17 09:42:55,766 | INFO | AdaBoost: n_estimators=150, lr=0.5
2025-12-17 09:43:53,787 | INFO | AdaBoost: n_estimators=200, lr=0.01
2025-12-17 09:45:06,739 | INFO | AdaBoost: n_estimators=200, lr=0.05
2025-12-17 09:46:19,053 | INFO | AdaBoost: n_estimators=200, lr=0.1
2025-12-17 09:47:31,713 | INFO | AdaBoost: n_estimators=200, lr=0.5
2025-12-17 09:48:44,430 | INFO | AdaBoost: n_estimators=300, lr=0.01
2025-12-17 09:50:33,461 | INFO | AdaBoost: n_estimators=300, lr=0.05
2025-12-17 09:52:22,461 | INFO | AdaBoost: n_estimators=300, lr=0.1
2025-12-17 09:54:11,461 | INFO | AdaBoost: n_estimators=300, lr=0.5
2025-12-17 09:57:55,709 | INFO | Loading data
2025-12-17 09:58:02,644 | INFO | Building TF-IDF Unigram features
2025-12-17 09:58:03,310 | INFO | LogisticRegression: C=0.0001
